,Acaryochloris sp.,Achromobacter sp.,Acinetobacter sp.,Bosea sp.,Bradyrhizobium sp.,Brucella sp.,Burkholderia sp.,Ciceribacter sp.,Cupriavidus sp.,Cutibacterium sp.,Hyphomicrobium sp.,Leifsonia sp.,Methylocella sp.,Methylocapsa sp.,Methylocystis sp.,Methyloferula sp.,Methylosinus sp.,Pseudomonas sp.,Staphylococcus sp.,Xanthobacter sp.
HADH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALDH,1,1,1,2,1,1,1,1,3,0,0,0,1,1,0,0,0,1,0,0
GLDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MDH,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3
PHGDH,1,3,1,3,3,3,3,3,3,3,1,3,2,2,1,3,3,2,1,3
MdhC,0,0,0,0,1,0,0,1,0,0,3,0,3,3,3,3,3,0,0,3
KatG,1,0,0,1,1,0,2,1,1,0,0,0,1,2,0,1,1,0,0,0
CAT,0,3,1,0,1,3,3,0,1,1,1,1,0,1,0,3,0,3,2,2
POD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
H2ase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FdhA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MMO,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0
FDH,0,3,0,3,3,3,3,0,3,0,1,0,0,1,0,3,0,3,0,3
FdhF,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CODH,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
FwdA,0,0,0,0,0,0,0,2,0,0,3,0,3,3,3,3,3,0,0,2
MtrH,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3,1,2,0,0,1
GCVT,1,1,1,1,2,1,2,2,1,1,0,1,1,1,2,1,1,3,1,2
TG-NAAG,3,2,0,1,3,0,2,0,0,1,0,1,2,3,1,0,2,1,3,3
Ftr,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1
PTA,0,2,1,0,1,1,1,1,1,0,3,1,2,1,1,1,1,2,1,3
AGT,1,0,0,1,2,0,0,0,1,0,2,0,1,1,1,1,1,0,0,0
PSAT1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
PFK,1,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0
GLYK,0,0,0,1,1,1,0,1,2,0,1,0,1,1,1,1,1,1,0,1
GYK,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ACK,1,1,1,0,1,2,1,1,1,0,1,1,1,2,1,1,1,1,1,2
Pyruvate,3,2,1,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0
HSPC117,1,1,1,2,2,1,1,1,3,0,0,0,1,1,0,0,0,1,0,0
FBP,3,1,1,1,0,2,1,1,1,0,3,1,1,3,1,2,1,1,1,3
PSPH,0,3,3,1,1,1,3,1,2,1,0,1,1,1,1,1,1,3,1,1
Mch,0,0,0,0,2,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1
ATPsyn,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PEPCase,1,1,1,1,0,0,1,0,1,0,1,0,2,2,2,1,2,1,0,1
SPD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA,3,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,2,2
HPS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PK,1,1,0,1,3,1,0,0,1,0,0,1,1,2,0,2,0,1,0,0
MCL,0,0,0,2,0,0,0,0,0,0,2,0,1,1,2,1,2,0,0,1
ENO,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
PSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SHMGS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACL,1,3,1,3,3,2,3,3,3,0,3,2,1,1,3,2,2,2,1,3
MCL,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
